date,geo,timeframe,new product,product launch,AI trends,wearable technology,electric vehicle,sustainable fashion,food innovation,medtech,smart device,bluetooth headphones,smartwatch,plant-based food,digital health,generative AI,AI chatbots,quantum computing,immersive tech,eco friendly products
2025-09-10,IN,today 3-m,34,10,25,0,35,0,0,27,20,69,5,0,1,3,0,83,0,0
2025-09-11,IN,today 3-m,41,9,14,0,38,0,0,36,16,55,5,0,1,3,0,62,0,0
2025-09-12,IN,today 3-m,37,8,14,0,37,0,0,20,0,71,5,0,1,3,0,65,0,0
2025-09-13,IN,today 3-m,25,0,29,0,30,0,0,13,16,73,5,0,0,2,0,61,0,0
2025-09-14,IN,today 3-m,29,4,28,0,26,0,0,14,16,51,5,0,0,2,0,30,0,0
2025-09-15,IN,today 3-m,32,5,15,0,35,0,0,35,13,46,5,0,0,3,0,45,0,0
2025-09-16,IN,today 3-m,35,5,16,0,36,0,0,30,16,56,23,0,1,3,0,70,0,0
2025-09-17,IN,today 3-m,33,7,9,0,34,0,0,29,15,64,48,0,1,3,0,75,0,0
2025-09-18,IN,today 3-m,33,5,12,0,38,0,0,19,12,43,54,0,1,3,0,74,0,0
2025-09-19,IN,today 3-m,40,5,13,0,36,0,0,21,15,69,56,0,1,3,0,70,0,0
2025-09-20,IN,today 3-m,34,7,13,0,36,0,0,25,18,69,62,0,1,2,0,54,0,0
2025-09-21,IN,today 3-m,34,6,10,0,24,0,0,16,13,72,52,0,1,2,0,42,0,0
2025-09-22,IN,today 3-m,61,12,11,0,40,0,0,20,15,66,46,0,1,3,0,74,0,0
2025-09-23,IN,today 3-m,51,7,9,0,34,0,0,17,12,100,49,0,1,2,0,58,0,0
2025-09-24,IN,today 3-m,38,7,8,0,37,0,0,12,15,78,56,0,0,2,0,53,0,0
2025-09-25,IN,today 3-m,33,9,6,0,37,0,0,22,17,72,56,0,1,3,0,49,0,0
2025-09-26,IN,today 3-m,28,7,0,0,39,0,0,19,19,77,59,0,1,2,0,61,0,0
2025-09-27,IN,today 3-m,24,6,0,0,34,0,0,0,14,81,65,0,0,2,0,50,0,0
2025-09-28,IN,today 3-m,20,0,0,0,28,0,0,0,21,61,62,0,0,2,0,28,0,0
2025-09-29,IN,today 3-m,29,0,5,0,36,0,0,24,19,87,71,0,0,3,0,68,0,0
2025-09-30,IN,today 3-m,32,8,6,0,37,0,0,19,21,82,57,0,0,3,0,48,0,0
2025-10-01,IN,today 3-m,26,8,0,0,34,0,0,18,22,69,61,0,0,2,0,43,0,0
2025-10-02,IN,today 3-m,17,0,0,0,22,0,0,0,23,80,69,0,0,1,0,60,0,0
2025-10-03,IN,today 3-m,31,0,5,0,35,0,0,16,35,74,67,0,1,2,0,65,0,0
2025-10-04,IN,today 3-m,27,6,5,0,36,0,0,20,14,71,74,0,0,2,0,46,0,0
2025-10-05,IN,today 3-m,27,0,0,0,31,0,0,14,21,76,77,0,0,2,0,45,0,0
2025-10-06,IN,today 3-m,32,7,5,0,37,0,0,31,17,70,75,0,0,3,0,54,0,0
2025-10-07,IN,today 3-m,30,7,9,0,40,0,0,26,19,59,67,0,0,3,0,83,0,0
2025-10-08,IN,today 3-m,32,9,7,0,36,0,0,25,25,70,67,0,1,2,0,85,0,0
2025-10-09,IN,today 3-m,28,7,6,0,33,0,0,26,12,58,64,0,1,3,0,81,0,0
2025-10-10,IN,today 3-m,27,0,5,0,42,0,0,31,23,64,74,0,1,2,0,55,0,0
2025-10-11,IN,today 3-m,21,0,0,0,39,0,0,27,0,93,74,0,0,2,0,66,0,0
2025-10-12,IN,today 3-m,25,4,5,0,28,3,4,16,15,73,84,0,0,2,0,52,0,5
2025-10-13,IN,today 3-m,31,7,6,1,38,4,5,25,14,66,81,0,1,3,0,69,0,6
2025-10-14,IN,today 3-m,31,7,5,1,40,5,4,27,16,66,71,0,1,3,0,69,0,6
2025-10-15,IN,today 3-m,35,8,5,1,43,5,5,23,17,61,82,0,1,4,0,68,0,6
2025-10-16,IN,today 3-m,31,7,5,1,35,4,4,23,16,67,83,0,1,3,0,74,0,5
2025-10-17,IN,today 3-m,27,6,4,0,32,2,3,20,15,65,78,0,0,4,0,59,0,5
2025-10-18,IN,today 3-m,20,4,3,0,27,3,2,13,15,73,79,0,0,2,0,48,0,4
2025-10-19,IN,today 3-m,17,3,3,0,22,2,2,9,14,66,100,0,0,2,0,42,0,2
2025-10-20,IN,today 3-m,16,3,3,0,24,2,1,13,14,67,11,0,0,2,0,42,0,2
2025-10-21,IN,today 3-m,21,4,4,0,27,4,3,13,14,64,7,0,0,2,0,54,0,4
2025-10-22,IN,today 3-m,25,5,5,0,30,4,2,18,16,66,7,0,0,3,0,56,0,4
2025-10-23,IN,today 3-m,24,5,5,0,30,4,4,18,15,60,6,0,0,3,0,87,0,6
2025-10-24,IN,today 3-m,26,5,5,0,33,5,3,21,15,64,6,0,1,3,0,91,0,8
2025-10-25,IN,today 3-m,22,4,4,0,31,3,3,15,16,57,6,0,0,2,0,70,0,3
2025-10-26,IN,today 3-m,23,4,4,0,29,4,3,14,16,68,7,0,0,2,0,69,0,3
